# LAMMPS data file written by OVITO Basic 3.9.4

62 atoms
1 atom types

0.0 9.8329751589 xlo xhi
0.0 8.3524792819 ylo yhi
0.0 49.9589495942 zlo zhi
5.1889167701 -0.1249227333 -0.0789837275 xy xz yz

Masses

1 12.0107  # C

Atoms  # charge

1 1 0.0 14.904995709 8.2831871378 19.1504743102
2 1 0.0 1.0964966616 0.6053534789 19.1247992916
3 1 0.0 1.1564616859 0.6391033488 22.6296653912
4 1 0.0 2.3768530939 1.3176722472 22.473872234
5 1 0.0 1.2451265963 1.9922568307 19.1571139744
6 1 0.0 2.5817983198 2.4501128878 19.2323038261
7 1 0.0 2.444887601 2.728560335 22.479406562
8 1 0.0 3.6614920807 3.3993867744 22.2394711547
9 1 0.0 2.6443708219 3.9331738394 19.3109991619
10 1 0.0 3.8418246481 4.7504303087 19.4181652855
11 1 0.0 3.8424285917 4.7511421154 22.5472394405
12 1 0.0 5.1685031082 5.3370604336 22.6543614073
13 1 0.0 3.8258377499 6.1709784981 19.2443462043
14 1 0.0 5.0544035324 6.8807039691 19.2063443358
15 1 0.0 5.1248611879 6.8267376115 22.692878122
16 1 0.0 6.3280053781 7.5732691888 22.696490557
17 1 0.0 2.3529738347 -2.5084641205e-04 19.15741072
18 1 0.0 3.4472678479 0.8935376949 19.2324574751
19 1 0.0 3.6111661868 0.6308662492 22.4792397345
20 1 0.0 4.8230189026 1.3102865115 22.2395242632
21 1 0.0 5.2276600573 2.9024569475 20.372563411
22 1 0.0 4.6808640242 2.5986579173 21.5929607153
23 1 0.0 5.0855065493 4.190829956 19.7259848451
24 1 0.0 6.2973608733 4.8702469271 19.4863020265
25 1 0.0 6.4612544595 4.607574684 22.733098449
26 1 0.0 7.555554173 5.5013663645 22.8081480671
27 1 0.0 6.3036973678 6.2446483472 19.2516826516
28 1 0.0 7.5440219895 6.9517078604 19.2072108634
29 1 0.0 7.5534236573 6.9018839725 22.7583454766
30 1 0.0 8.7937475067 7.6089432525 22.7138284269
31 1 0.0 4.7400225919 0.1640541245 19.3111500755
32 1 0.0 6.0660978001 0.7499774766 19.418231313
33 1 0.0 6.0667068705 0.7506802331 22.5473001936
34 1 0.0 7.2641557032 1.5679388651 22.6545177505
35 1 0.0 6.2470354023 2.1017247695 19.7260453281
36 1 0.0 7.4636402987 2.7725539727 19.4861516799
37 1 0.0 7.3267258881 3.0509972401 22.7332605929
38 1 0.0 8.6634019525 3.5088567242 22.8084639722
39 1 0.0 7.5316747263 4.1834422827 19.4917168017
40 1 0.0 8.7520713894 4.8620132395 19.3359322623
41 1 0.0 8.8120300912 4.895759508 22.8407436551
42 1 0.0 10.0254157547 5.5704018153 22.814980483
43 1 0.0 8.7694376159 6.2803251645 19.2690835016
44 1 0.0 9.9725846851 7.0268570537 19.2726476643
45 1 0.0 10.0430426789 6.9728881353 22.7590839466
46 1 0.0 11.2716049085 7.6826073024 22.721059827
47 1 0.0 7.2642951064 -0.0132239006 19.244300992
48 1 0.0 8.515471571 0.6558183867 19.2061153304
49 1 0.0 8.5064961823 0.7447684302 22.6930352194
50 1 0.0 9.7755237481 1.3728072056 22.6967726189
51 1 0.0 8.6344246916 2.0526783819 19.251307169
52 1 0.0 9.8895687291 2.7331093189 19.2067693653
53 1 0.0 9.8519353618 2.7680052925 22.7588160386
54 1 0.0 11.1070787666 3.4484365641 22.7142319806
55 1 0.0 9.9659793556 4.1283057295 19.2688186989
56 1 0.0 11.2350085223 4.7563462201 19.2724985218
57 1 0.0 11.226031841 4.845297041 22.7593305823
58 1 0.0 12.4772006202 5.5143412353 22.721113198
59 1 0.0 11.2129405355 6.2303028204 19.2725969131
60 1 0.0 12.4387365215 6.9118900341 19.2184613781
61 1 0.0 12.4916825381 6.9417035223 22.7469388854
62 1 0.0 13.7174793314 7.6232910531 22.6928831097
