# LAMMPS data file written by OVITO Basic 3.9.4

31 atoms
1 atom types

0.0 9.8162093397 xlo xhi
0.0 8.5096962804 ylo yhi
0.0 49.912578381 zlo zhi
4.9269689406 9.6324441619e-05 1.4682441771e-04 xy xz yz

Masses

1 12.0107  # C

Atoms  # charge

1 1 0.0 0.0036848252 4.2184505679e-04 21.9615108255
2 1 0.0 1.2250549281 0.7101139059 21.9615083447
3 1 0.0 1.227562501 2.128877983 21.9615160279
4 1 0.0 2.4559482251 2.8359884826 21.9615368714
5 1 0.0 2.463917785 4.2494016763 21.9615388291
6 1 0.0 3.7031879562 4.9625987166 21.9615345365
7 1 0.0 13.5171578858 6.3773571978 21.961538238
8 1 0.0 4.9294648122 7.0801897673 21.9615397846
9 1 0.0 2.4520775398 0.0015528124 21.9615498108
10 1 0.0 3.6795161649 0.7088993154 21.9615553738
11 1 0.0 3.6817333311 2.1263917664 21.9615446077
12 1 0.0 4.8976658889 2.8270773982 21.9614589256
13 1 0.0 4.9533558238 4.2385703125 21.961449597
14 1 0.0 6.1443129874 4.9622157092 21.9613923832
15 1 0.0 6.1803498008 6.3560324276 21.9615264262
16 1 0.0 7.3762726267 7.1076872075 21.9615423625
17 1 0.0 4.9025780638 0.001994408 21.9615114164
18 1 0.0 6.1386906082 0.7108058116 21.9615707681
19 1 0.0 6.1371241411 2.1517785313 21.9616575703
20 1 0.0 7.3532904644 2.8083939463 21.9616178997
21 1 0.0 8.6188035963 4.9893421441 21.9620097762
22 1 0.0 8.5806284914 6.3702617662 21.9614401043
23 1 0.0 9.8305426593 7.087087637 21.9614713303
24 1 0.0 12.2884115739 8.5113148615 21.9615310632
25 1 0.0 8.5837510867 0.7148975434 21.9614565785
26 1 0.0 8.5835508628 2.1615020967 21.9613670511
27 1 0.0 9.8277345201 2.8317448279 21.9615726858
28 1 0.0 9.7913354903 4.2454439943 21.9615130634
29 1 0.0 11.0451962895 4.9651578737 21.961490889
30 1 0.0 11.0547471921 6.3799670783 21.9615520067
31 1 0.0 12.2872781075 7.0896928267 21.9615639694
